date,sector,sector_sentiment,active_ticker_count,headline_count,cross_ticker_sentiment_std,cross_ticker_sentiment_iqr,same_day_headline_count,carryover_headline_count,ticker_headline_share_hhi,dominant_ticker,dominant_ticker_headline_share,possible_ticker_count,active_ticker_share,absolute_sector_sentiment,carryover_share,missing_sector_day
2020-01-02,Comm,0.10897499999999999,4,11,0.13469576521430313,0.188525,11,0,0.32231404958677684,T,0.45454545454545453,5,0.8,0.10897499999999999,0.0,False
2020-01-02,Consumer,-0.06894547619047618,5,22,0.1313420175667891,0.145275,18,4,0.2190082644628099,DIS,0.3181818181818182,5,1.0,0.06894547619047618,0.18181818181818182,False
2020-01-02,Energy,0.19246166666666667,5,21,0.11211245402372665,0.1366,18,3,0.27437641723356004,XOM,0.38095238095238093,5,1.0,0.19246166666666667,0.14285714285714285,False
2020-01-02,Financials,0.10718533333333333,5,12,0.1689353241398087,0.14966,11,1,0.2777777777777778,WFC,0.4166666666666667,5,1.0,0.10718533333333333,0.08333333333333333,False
2020-01-02,Healthcare,0.21549047619047618,5,23,0.09803941939394602,0.16873333333333332,18,5,0.22495274102079393,AMGN,0.30434782608695654,5,1.0,0.21549047619047618,0.21739130434782608,False
2020-01-02,Industrials,0.08408,5,13,0.15702137434120236,0.059199999999999996,13,0,0.2781065088757397,BA,0.38461538461538464,5,1.0,0.08408,0.0,False
2020-01-02,Materials,0.18291666666666664,3,7,0.15883280779906062,0.142975,7,0,0.346938775510204,DOW,0.42857142857142855,5,0.6,0.18291666666666664,0.0,False
2020-01-02,RealEstate,0.018100000000000005,2,3,0.025597265478953028,0.018100000000000005,2,1,0.5555555555555556,AMT,0.6666666666666666,5,0.4,0.018100000000000005,0.3333333333333333,False
2020-01-02,Tech,0.07698871794871795,4,25,0.13342473224932996,0.2006028205128205,25,0,0.36960000000000004,AMD,0.52,5,0.8,0.07698871794871795,0.0,False
2020-01-02,Utilities,0.6369,1,1,0.0,0.0,1,0,1.0,NEE,1.0,5,0.2,0.6369,0.0,False
2020-01-03,Comm,0.135575,2,3,0.19173200371873236,0.135575,3,0,0.5555555555555556,T,0.6666666666666666,5,0.4,0.135575,0.0,False
2020-01-03,Consumer,-0.21779166666666666,4,10,0.3923292724938525,0.3255083333333333,10,0,0.30000000000000004,DIS,0.4,5,0.8,0.21779166666666666,0.0,False
2020-01-03,Energy,-0.046189727272727285,5,28,0.17442996072377928,0.29511,28,0,0.2576530612244898,XOM,0.39285714285714285,5,1.0,0.046189727272727285,0.0,False
2020-01-03,Financials,0.08409166666666668,3,8,0.23997936413019627,0.2286625,8,0,0.375,V,0.5,5,0.6,0.08409166666666668,0.0,False
2020-01-03,Healthcare,0.2093875,2,6,0.015291184143159093,0.010812500000000003,6,0,0.5555555555555556,GILD,0.6666666666666666,5,0.4,0.2093875,0.0,False
2020-01-03,Industrials,-0.1561,4,7,0.18445914181736833,0.140125,7,0,0.2653061224489796,CAT,0.2857142857142857,5,0.8,0.1561,0.0,False
2020-01-03,Materials,-0.07075000000000001,2,3,0.6400023476519442,0.45254999999999995,3,0,0.5555555555555556,NEM,0.6666666666666666,5,0.4,0.07075000000000001,0.0,False
2020-01-03,RealEstate,-0.06403333333333334,3,5,0.3204937180871621,0.3071,5,0,0.44,AMT,0.6,5,0.6,0.06403333333333334,0.0,False
2020-01-03,Tech,0.09808526785714286,4,17,0.11334675321058926,0.19344151785714286,17,0,0.39792387543252594,AMD,0.47058823529411764,5,0.8,0.09808526785714286,0.0,False
2020-01-03,Utilities,0.14085,2,4,0.19919198026025042,0.14084999999999998,4,0,0.625,NEE,0.75,5,0.4,0.14085,0.0,False
2020-01-06,Comm,0.1738097222222222,3,16,0.07566377843392537,0.07420208333333334,13,3,0.40625,CMCSA,0.5,5,0.6,0.1738097222222222,0.1875,False
2020-01-06,Consumer,0.10678931372549019,5,44,0.07939129990058032,0.07606176470588236,24,20,0.3026859504132231,WMT,0.38636363636363635,5,1.0,0.10678931372549019,0.45454545454545453,False
2020-01-06,Energy,0.08543969696969697,5,34,0.020799626683094735,0.024866666666666676,25,9,0.23702422145328722,OXY,0.3235294117647059,5,1.0,0.08543969696969697,0.2647058823529412,False
2020-01-06,Financials,0.284306,5,12,0.20472640201009737,0.25349999999999995,11,1,0.2638888888888889,USB,0.4166666666666667,5,1.0,0.284306,0.08333333333333333,False
2020-01-06,Healthcare,0.32718,5,12,0.21946441226312752,0.38480000000000003,8,4,0.26388888888888895,MRK,0.4166666666666667,5,1.0,0.32718,0.3333333333333333,False
2020-01-06,Industrials,0.0735287037037037,3,14,0.07424765035217565,0.07423749999999998,10,4,0.5000000000000001,BA,0.6428571428571429,5,0.6,0.0735287037037037,0.2857142857142857,False
2020-01-06,Materials,-0.069765,4,9,0.22887016312019934,0.131185,7,2,0.3827160493827161,NEM,0.5555555555555556,5,0.8,0.069765,0.2222222222222222,False
2020-01-06,RealEstate,0.148,3,4,0.148,0.14799999999999996,4,0,0.375,PSA,0.5,5,0.6,0.148,0.0,False
2020-01-06,Tech,-0.013116666666666665,5,13,0.2653233776398571,0.09793333333333333,9,4,0.3017751479289941,AMD,0.46153846153846156,5,1.0,0.013116666666666665,0.3076923076923077,False
2020-01-06,Utilities,0.011312500000000003,4,6,0.24189305617359091,0.1479125,4,2,0.2777777777777778,D,0.3333333333333333,5,0.8,0.011312500000000003,0.3333333333333333,False
2020-01-07,Comm,0.29263333333333336,3,5,0.5068558013215725,0.43895,5,0,0.44000000000000006,TMUS,0.6,5,0.6,0.29263333333333336,0.0,False
2020-01-07,Consumer,0.1472385,5,22,0.13782132932714006,0.10016249999999999,22,0,0.25206611570247933,DIS,0.36363636363636365,5,1.0,0.1472385,0.0,False
2020-01-07,Energy,0.07934999999999999,3,12,0.10959565456714056,0.1022,12,0,0.375,OXY,0.5,5,0.6,0.07934999999999999,0.0,False
2020-01-07,Financials,0.140525,4,11,0.2019686011075319,0.11257500000000001,11,0,0.3553719008264462,GS,0.45454545454545453,5,0.8,0.140525,0.0,False
2020-01-07,Healthcare,0.10863733333333334,5,15,0.23930548475861466,0.3551666666666667,15,0,0.27111111111111114,ABBV,0.3333333333333333,5,1.0,0.10863733333333334,0.0,False
2020-01-07,Industrials,0.030057142857142855,4,13,0.11160251198011677,0.11072142857142858,13,0,0.3964497041420118,BA,0.5384615384615384,5,0.8,0.030057142857142855,0.0,False
2020-01-07,Materials,0.12726666666666667,3,3,0.22043233277659907,0.1909,3,0,0.3333333333333333,DD,0.3333333333333333,5,0.6,0.12726666666666667,0.0,False
2020-01-07,RealEstate,0.0,2,2,0.0,0.0,2,0,0.5,AMT,0.5,5,0.4,0.0,0.0,False
2020-01-07,Tech,0.00910267857142857,4,21,0.03785849002263848,0.02992232142857143,21,0,0.3151927437641723,AMD,0.38095238095238093,5,0.8,0.00910267857142857,0.0,False
2020-01-07,Utilities,0.6369,1,1,0.0,0.0,1,0,1.0,SO,1.0,5,0.2,0.6369,0.0,False
2020-01-08,Comm,0.1929775,4,20,0.20202291130380898,0.1470475,20,0,0.34,T,0.5,5,0.8,0.1929775,0.0,False
2020-01-08,Consumer,0.0717625,4,16,0.1005282163955308,0.08083749999999999,16,0,0.3515625,DIS,0.4375,5,0.8,0.0717625,0.0,False
2020-01-08,Energy,-0.018874999999999986,5,17,0.23849295572522797,0.12465833333333333,17,0,0.23875432525951562,OXY,0.35294117647058826,5,1.0,0.018874999999999986,0.0,False
2020-01-08,Financials,0.4676833333333333,3,4,0.2866434210536382,0.2791,4,0,0.375,MS,0.5,5,0.6,0.4676833333333333,0.0,False
2020-01-08,Healthcare,0.25715185185185185,3,13,0.2277188444989077,0.22710555555555556,13,0,0.5384615384615384,MRK,0.6923076923076923,5,0.6,0.25715185185185185,0.0,False
2020-01-08,Industrials,0.02034285714285714,3,12,0.03523486214254401,0.030514285714285713,12,0,0.43055555555555564,BA,0.5833333333333334,5,0.6,0.02034285714285714,0.0,False
2020-01-08,Materials,-0.09959999999999998,2,6,0.4728423045794443,0.33435,6,0,0.5555555555555556,NEM,0.6666666666666666,5,0.4,0.09959999999999998,0.0,False
