base_method,base_total_turnover,standard_total_turnover,placebo_total_turnover,confidence_total_turnover,incremental_turnover_standard_vs_base,incremental_turnover_placebo_vs_base,incremental_turnover_confidence_vs_base,standard_to_confidence_turnover_reduction,standard_to_placebo_turnover_reduction,constant_shrinkage_explained_share,constant_shrinkage_explained_percent
Maximum Sharpe,24.908840121459143,25.058270328965065,24.968792497912368,25.006839029807658,0.1494302075059224,0.05995237645322504,0.0979989083485151,0.051431299157407295,0.08947783105269735,1.7397544397789235,173.97544397789235
Minimum Variance,11.5191438254282,12.046789706438037,11.802349627041298,11.807426243797446,0.5276458810098372,0.2832058016130983,0.2882824183692456,0.2393634626405916,0.24444007939673895,1.021208820678576,102.12088206785761
