date,sector,sector_sentiment,headline_count,active_ticker_count,dominant_ticker,headline_weighted_sentiment,difference_headline_minus_equal_ticker,absolute_difference,sign_reversal,pearson_correlation,spearman_correlation,observation_count
2020-01-02,Comm,0.10897499999999999,11,4.0,T,0.15474545454545455,0.04577045454545456,0.04577045454545456,False,,,
2020-01-03,Comm,0.135575,3,2.0,T,0.18076666666666666,0.04519166666666666,0.04519166666666666,False,,,
2020-01-06,Comm,0.1738097222222222,16,3.0,CMCSA,0.15919375,-0.014615972222222218,0.014615972222222218,False,,,
2020-01-07,Comm,0.29263333333333336,5,3.0,TMUS,0.17558,-0.11705333333333334,0.11705333333333334,False,,,
2020-01-08,Comm,0.1929775,20,4.0,T,0.14944,-0.04353750000000001,0.04353750000000001,False,,,
2020-01-09,Comm,0.16018,6,5.0,CMCSA,0.21763333333333332,0.05745333333333333,0.05745333333333333,False,,,
2020-01-10,Comm,0.03584583333333334,8,4.0,T,0.142975,0.10712916666666665,0.10712916666666665,False,,,
2020-01-13,Comm,0.0015479166666666697,14,2.0,CMCSA,0.012271428571428572,0.010723511904761902,0.010723511904761902,False,,,
2020-01-14,Comm,0.0863,4,2.0,EA,0.11655,0.03025,0.03025,False,,,
2020-01-15,Comm,0.0006972222222222194,9,3.0,T,-0.03062222222222223,-0.03131944444444445,0.03131944444444445,True,,,
2020-01-16,Comm,0.1423625,17,4.0,CMCSA,0.1822764705882353,0.03991397058823529,0.03991397058823529,False,,,
2020-01-17,Comm,0.0634,8,3.0,CMCSA,0.11887500000000001,0.05547500000000001,0.05547500000000001,False,,,
2020-01-21,Comm,-0.027549999999999998,19,4.0,CMCSA,-0.0007315789473684164,0.02681842105263158,0.02681842105263158,False,,,
2020-01-22,Comm,0.18275,4,3.0,CMCSA,0.274125,0.09137500000000001,0.09137500000000001,False,,,
2020-01-23,Comm,0.17530257142857142,22,5.0,CMCSA,0.12577727272727274,-0.04952529870129868,0.04952529870129868,False,,,
2020-01-24,Comm,0.13886280303030302,24,4.0,CMCSA,0.10324583333333333,-0.03561696969696969,0.03561696969696969,False,,,
2020-01-27,Comm,-0.0454159090909091,20,4.0,CMCSA,-0.061455,-0.016039090909090906,0.016039090909090906,False,,,
2020-01-28,Comm,0.04588500000000001,15,4.0,T,0.07077333333333334,0.024888333333333332,0.024888333333333332,False,,,
2020-01-29,Comm,0.31587624999999997,11,4.0,T,0.2760818181818182,-0.039794431818181764,0.039794431818181764,False,,,
2020-01-30,Comm,-0.013312499999999998,18,4.0,EA,0.048322222222222225,0.06163472222222222,0.06163472222222222,True,,,
2020-01-31,Comm,-0.2358340909090909,15,4.0,EA,-0.032186666666666676,0.20364742424242424,0.20364742424242424,False,,,
2020-02-03,Comm,0.1309225,21,5.0,EA,0.1541857142857143,0.02326321428571429,0.02326321428571429,False,,,
2020-02-04,Comm,0.11257899999999998,17,5.0,CMCSA,0.14227058823529412,0.029691588235294136,0.029691588235294136,False,,,
2020-02-05,Comm,-0.008172916666666662,12,4.0,TTWO,0.05936666666666667,0.06753958333333333,0.06753958333333333,True,,,
2020-02-06,Comm,0.06914000000000001,19,5.0,TMUS,0.11078947368421052,0.041649473684210514,0.041649473684210514,False,,,
2020-02-07,Comm,0.04096999999999999,13,4.0,CMCSA,0.06486153846153846,0.023891538461538464,0.023891538461538464,False,,,
2020-02-10,Comm,0.11424999999999999,20,4.0,T,0.11607,0.001820000000000016,0.001820000000000016,False,,,
2020-02-11,Comm,-0.032639117647058805,24,4.0,TMUS,0.13359583333333333,0.16623495098039215,0.16623495098039215,True,,,
2020-02-12,Comm,0.15365222222222222,18,5.0,TMUS,0.14704444444444442,-0.006607777777777796,0.006607777777777796,False,,,
2020-02-13,Comm,0.09172261904761905,20,5.0,T,0.09333,0.0016073809523809435,0.0016073809523809435,False,,,
2020-02-14,Comm,0.6249,1,1.0,T,0.6249,0.0,0.0,False,,,
2020-02-18,Comm,0.04021809523809524,23,5.0,EA,0.06699565217391305,0.026777556935817813,0.026777556935817813,False,,,
2020-02-19,Comm,0.18420416666666664,7,2.0,T,0.17224285714285714,-0.011961309523809499,0.011961309523809499,False,,,
2020-02-20,Comm,0.06464166666666667,15,3.0,TMUS,0.10535333333333333,0.04071166666666666,0.04071166666666666,False,,,
2020-02-21,Comm,-0.06630555555555556,7,3.0,T,-0.07791428571428571,-0.011608730158730152,0.011608730158730152,False,,,
2020-02-24,Comm,0.04713888888888889,10,3.0,T,0.08485000000000001,0.03771111111111112,0.03771111111111112,False,,,
2020-02-25,Comm,0.20084444444444446,5,3.0,CMCSA,0.07808000000000001,-0.12276444444444445,0.12276444444444445,False,,,
2020-02-26,Comm,0.15698333333333334,10,4.0,CMCSA,0.1739,0.016916666666666663,0.016916666666666663,False,,,
2020-02-27,Comm,0.164925,8,4.0,T,0.1239125,-0.04101249999999999,0.04101249999999999,False,,,
2020-02-28,Comm,-0.09630999999999999,17,5.0,CMCSA,-0.037088235294117644,0.05922176470588235,0.05922176470588235,False,,,
2020-03-02,Comm,0.12158333333333332,17,4.0,CMCSA,0.09938823529411765,-0.02219509803921567,0.02219509803921567,False,,,
2020-03-03,Comm,0.050289999999999994,11,4.0,T,0.09288181818181819,0.042591818181818196,0.042591818181818196,False,,,
2020-03-04,Comm,0.12637083333333332,7,4.0,T,0.07007142857142856,-0.05629940476190476,0.05629940476190476,False,,,
2020-03-05,Comm,0.181035,10,5.0,CMCSA,0.14621,-0.034824999999999995,0.034824999999999995,False,,,
2020-03-06,Comm,0.0698625,6,2.0,CMCSA,0.09315,0.023287500000000003,0.023287500000000003,False,,,
2020-03-09,Comm,-0.013662499999999998,16,4.0,T,-0.007587499999999997,0.0060750000000000005,0.0060750000000000005,False,,,
2020-03-10,Comm,-0.044323999999999995,18,5.0,T,-0.06936666666666666,-0.025042666666666664,0.025042666666666664,False,,,
2020-03-11,Comm,0.027750000000000004,9,4.0,T,0.14388888888888887,0.11613888888888887,0.11613888888888887,False,,,
2020-03-12,Comm,-0.006919999999999991,12,3.0,CMCSA,-0.008649999999999991,-0.0017299999999999998,0.0017299999999999998,False,,,
2020-03-13,Comm,0.13042166666666666,16,3.0,CMCSA,0.10541249999999999,-0.025009166666666666,0.025009166666666666,False,,,
2020-03-16,Comm,-0.015389166666666676,28,4.0,CMCSA,0.013149999999999997,0.02853916666666667,0.02853916666666667,True,,,
2020-03-17,Comm,0.06483249999999999,17,4.0,EA,0.07985294117647058,0.015020441176470598,0.015020441176470598,False,,,
2020-03-18,Comm,-0.03310499999999999,11,4.0,T,0.06863636363636365,0.10174136363636363,0.10174136363636363,True,,,
2020-03-19,Comm,0.03651833333333333,14,5.0,CMCSA,0.016164285714285714,-0.02035404761904762,0.02035404761904762,False,,,
2020-03-20,Comm,0.02329166666666667,6,3.0,T,0.04658333333333334,0.02329166666666667,0.02329166666666667,False,,,
2020-03-23,Comm,0.16331284415584416,28,5.0,CMCSA,0.13156071428571428,-0.031752129870129875,0.031752129870129875,False,,,
2020-03-24,Comm,0.2189259523809524,18,4.0,CMCSA,0.11122777777777777,-0.10769817460317462,0.10769817460317462,False,,,
2020-03-25,Comm,0.17759866666666665,15,5.0,CMCSA,0.16664,-0.010958666666666644,0.010958666666666644,False,,,
2020-03-26,Comm,0.12920166666666666,13,5.0,CMCSA,0.11303076923076921,-0.016170897435897447,0.016170897435897447,False,,,
