date,fund_family,method,method_type,asset_class,exposure
2021-09-01,Combined,Maximum Sharpe,optimisation,crypto,0.05866571960817214
2021-09-01,Combined,Maximum Sharpe,optimisation,equity,0.941334280391828
2021-10-01,Combined,Maximum Sharpe,optimisation,crypto,0.06255005957064359
2021-10-01,Combined,Maximum Sharpe,optimisation,equity,0.9374499404293565
2021-11-01,Combined,Maximum Sharpe,optimisation,crypto,0.037050526757020044
2021-11-01,Combined,Maximum Sharpe,optimisation,equity,0.9629494732429802
2021-12-01,Combined,Maximum Sharpe,optimisation,crypto,0.02626497577142327
2021-12-01,Combined,Maximum Sharpe,optimisation,equity,0.9737350242285768
2022-01-03,Combined,Maximum Sharpe,optimisation,crypto,0.02089876039671113
2022-01-03,Combined,Maximum Sharpe,optimisation,equity,0.9791012396032889
2022-02-01,Combined,Maximum Sharpe,optimisation,crypto,0.017188894589673116
2022-02-01,Combined,Maximum Sharpe,optimisation,equity,0.9828111054103271
2022-03-01,Combined,Maximum Sharpe,optimisation,crypto,0.02148703428500862
2022-03-01,Combined,Maximum Sharpe,optimisation,equity,0.9785129657149914
2022-04-01,Combined,Maximum Sharpe,optimisation,crypto,0.018587208005122664
2022-04-01,Combined,Maximum Sharpe,optimisation,equity,0.9814127919948772
2022-05-02,Combined,Maximum Sharpe,optimisation,crypto,1.2393186146868789e-15
2022-05-02,Combined,Maximum Sharpe,optimisation,equity,0.9999999999999986
2022-06-01,Combined,Maximum Sharpe,optimisation,crypto,9.496957866150555e-15
2022-06-01,Combined,Maximum Sharpe,optimisation,equity,0.9999999999999906
2022-07-01,Combined,Maximum Sharpe,optimisation,crypto,1.1144009348894228e-14
2022-07-01,Combined,Maximum Sharpe,optimisation,equity,0.9999999999999889
2022-08-01,Combined,Maximum Sharpe,optimisation,crypto,1.7850655471977172e-15
2022-08-01,Combined,Maximum Sharpe,optimisation,equity,0.9999999999999981
2022-09-01,Combined,Maximum Sharpe,optimisation,crypto,4.3765660027084293e-16
2022-09-01,Combined,Maximum Sharpe,optimisation,equity,0.9999999999999997
2022-10-03,Combined,Maximum Sharpe,optimisation,crypto,4.684881118498432e-16
2022-10-03,Combined,Maximum Sharpe,optimisation,equity,0.9999999999999997
