month,sector,sector_sentiment_mean,absolute_sentiment_mean,headline_count,active_ticker_count_mean,active_ticker_share_mean,ticker_headline_share_hhi_mean,sentiment_disagreement_std_mean,sentiment_disagreement_iqr_mean,missing_sector_days
2020-01,Comm,0.09194610248745963,0.1226234834398406,269,3.5714285714285716,0.7142857142857143,0.4054767743941927,0.18057255623754603,0.17264237193362192,0
2020-01,Consumer,0.06694069524048936,0.09424899456021725,578,4.714285714285714,0.9428571428571428,0.33397238996896295,0.14122837893182863,0.1288411305268028,0
2020-01,Energy,0.10598720868549441,0.1121838493781351,393,4.380952380952381,0.8761904761904761,0.30544148855977876,0.1379102597085302,0.14477760204081633,0
2020-01,Financials,0.1322614596052096,0.14191225325600326,331,4.142857142857143,0.8285714285714285,0.3518792286368976,0.1565356862866304,0.15323197678644107,0
2020-01,Healthcare,0.19011439637589042,0.19011439637589042,309,4.190476190476191,0.8380952380952381,0.3342282712081953,0.20543846688953038,0.24701547039270252,0
2020-01,Industrials,0.06343034539556563,0.08927323088309398,294,3.857142857142857,0.7714285714285714,0.3840336464756669,0.12201166460670303,0.11302449121315192,0
2020-01,Materials,0.06501962788534217,0.11120531164602594,191,3.2857142857142856,0.6571428571428571,0.3925281092325098,0.19676335677061044,0.15778227367870223,0
2020-01,RealEstate,0.09102025132275132,0.11473009259259259,91,2.619047619047619,0.5238095238095238,0.5010927545621423,0.14386979542151784,0.11843948412698413,0
2020-01,Tech,0.08780085327531603,0.11082130382476657,538,4.380952380952381,0.8761904761904763,0.3756123302468294,0.1331526781317629,0.15886068981283266,0
2020-01,Utilities,0.1746972712585034,0.1780425093537415,211,3.6666666666666665,0.7333333333333334,0.4033755041188005,0.136086708840006,0.12434370890022677,0
2020-02,Comm,0.10492970245466608,0.12634313296722197,267,3.8947368421052633,0.7789473684210527,0.3885303756552035,0.1862293282723211,0.1525280559855521,0
2020-02,Consumer,0.07767526458199524,0.09419365379031013,606,4.7894736842105265,0.9578947368421052,0.35667054935858195,0.16845036637179625,0.18221145643142547,0
2020-02,Energy,0.13120592425775976,0.15020520997204548,341,4.684210526315789,0.9368421052631579,0.27752389399301464,0.15820389283668748,0.15416976780894542,0
