date,sector,equal_ticker_sentiment,headline_weighted_sentiment,absolute_difference,sign_reversal,responsible_ticker,responsible_ticker_headline_share,responsible_ticker_sentiment,sector_headline_count,sector_active_ticker_count
2022-09-16,Industrials,0.20082941176470584,-0.20705555555555558,0.4078849673202614,True,UPS,0.9444444444444444,-0.2580411764705883,18,2.0
2021-08-11,Materials,-0.21076111111111112,0.12054999999999998,0.3313111111111111,True,NUE,0.9,0.20337777777777777,10,2.0
2020-09-25,Industrials,0.1986263888888889,-0.08427272727272726,0.28289911616161617,True,BA,0.8181818181818182,-0.15579444444444446,22,4.0
2020-07-20,Industrials,0.2762636363636364,0.0033642857142857164,0.27289935064935067,False,BA,0.7857142857142857,-0.1388090909090909,14,3.0
2020-10-09,Healthcare,-0.15622666666666665,0.1135142857142857,0.26974095238095236,True,GILD,0.7142857142857143,0.31582,7,3.0
2022-12-13,Comm,-0.21001333333333336,0.053285714285714283,0.26329904761904765,True,T,0.7142857142857143,0.25076,7,3.0
2020-05-08,Tech,0.5527614285714286,0.29141428571428574,0.2613471428571429,False,ADBE,0.5,0.1594857142857143,14,4.0
2023-08-01,Healthcare,0.3291913194444444,0.07075000000000001,0.2584413194444444,False,MRK,0.6,-0.04688888888888889,30,4.0
2020-12-28,Comm,0.30003749999999996,0.05249999999999999,0.24753749999999997,False,T,0.8,-0.053587499999999996,10,3.0
2020-09-08,Utilities,-0.16006857142857142,0.08676363636363636,0.24683220779220777,True,NEE,0.6363636363636364,0.29245714285714286,11,5.0
2020-03-04,Utilities,0.5907116666666666,0.35277000000000003,0.2379416666666666,False,DUK,0.5,0.03418000000000001,10,4.0
2020-07-24,Industrials,0.22818750000000002,-0.007885714285714274,0.2360732142857143,True,BA,0.5714285714285714,-0.148275,14,4.0
2020-07-23,Industrials,0.2657075,0.03320833333333333,0.23249916666666665,False,BA,0.6666666666666666,-0.1328625,12,5.0
2021-09-07,Healthcare,0.2293216666666667,0.0008928571428571516,0.22842880952380956,False,MRK,0.42857142857142855,-0.16756666666666664,14,5.0
2021-08-11,Industrials,-0.08194250000000002,0.14476923076923076,0.2267117307692308,True,CAT,0.7692307692307693,0.24552999999999997,13,4.0
2022-07-27,Materials,0.22464285714285712,-0.0019000000000000128,0.22654285714285713,True,SHW,0.875,-0.07741428571428573,8,2.0
2021-05-17,Industrials,0.18967678571428573,-0.030872727272727274,0.220549512987013,True,BA,0.6363636363636364,-0.18454285714285715,11,4.0
2022-07-07,Healthcare,-0.01589107142857142,0.20338461538461539,0.21927568681318682,True,MRK,0.5384615384615384,0.2228857142857143,13,4.0
2022-01-03,Comm,0.20378846153846153,-0.013764285714285715,0.21755274725274726,True,T,0.9285714285714286,-0.05002307692307692,14,2.0
2023-03-03,Consumer,-0.024616666666666676,0.18843333333333334,0.21305000000000002,True,KO,0.6666666666666666,0.35395,9,3.0
2020-11-02,Utilities,-0.02381666666666667,0.18902999999999998,0.21284666666666666,True,NEE,0.8,0.28025,10,3.0
2022-07-12,Financials,0.01926761904761906,-0.19137272727272728,0.21064034632034634,True,WFC,0.45454545454545453,-0.44767,22,4.0
2020-07-24,Tech,0.19541746031746032,-0.012538636363636365,0.20795609668109669,True,INTC,0.6363636363636364,-0.04591428571428572,44,3.0
2023-02-06,Materials,0.08591249999999997,-0.11976470588235297,0.20567720588235294,True,NEM,0.8235294117647058,-0.18305000000000002,17,4.0
2023-09-01,Energy,0.2715555555555556,0.06612500000000002,0.2054305555555556,False,CVX,0.75,-0.057133333333333335,8,3.0
2022-08-10,Financials,0.279803125,0.07463125,0.205171875,False,GS,0.5,-0.03543750000000001,16,4.0
2020-01-31,Comm,-0.2358340909090909,-0.032186666666666676,0.20364742424242424,False,EA,0.7333333333333333,0.06996363636363635,15,4.0
2023-11-10,Utilities,0.3923625,0.19163999999999998,0.20072250000000003,False,NEE,0.8,0.057825,5,2.0
2020-06-09,Energy,0.4114893333333334,0.21099,0.20049933333333336,False,OXY,0.5,0.14938,20,5.0
2023-05-03,Materials,-0.32525,-0.12548333333333334,0.19976666666666665,False,DD,0.8333333333333334,-0.0256,6,2.0
2023-10-09,RealEstate,0.21775,0.01965,0.1981,False,O,0.5,-0.13935,8,3.0
2020-09-15,Energy,-0.2610166666666667,-0.06352500000000001,0.19749166666666668,False,CVX,0.75,0.13396666666666665,4,2.0
2022-10-19,Comm,-0.07231666666666665,0.12511538461538463,0.19743205128205127,True,T,0.6153846153846154,0.2645,13,4.0
2020-03-03,Healthcare,0.37418615384615384,0.17703684210526316,0.19714931174089068,False,GILD,0.6842105263157895,0.07143076923076923,19,5.0
2020-07-17,Industrials,0.1124625,-0.0843,0.1967625,True,BA,0.8,-0.215475,5,2.0
2022-10-17,RealEstate,0.06738500000000003,0.2638666666666667,0.19648166666666667,False,O,0.5555555555555556,0.43674,9,4.0
2022-05-19,Industrials,0.3299611111111111,0.13404444444444444,0.19591666666666666,False,BA,0.6666666666666666,-0.03411666666666667,9,3.0
2021-05-24,Comm,-0.015649999999999997,0.17935333333333334,0.19500333333333333,True,T,0.6666666666666666,0.28755000000000003,15,5.0
2020-03-26,Tech,0.293434,0.098815,0.194619,False,INTC,0.45,0.028499999999999994,20,5.0
2021-06-01,Comm,0.38727,0.19284545454545457,0.19442454545454543,False,T,0.9090909090909091,0.14964,11,2.0
2020-07-07,Financials,-0.13842500000000002,0.054899999999999984,0.193325,True,GS,0.6666666666666666,0.44155,3,2.0
2020-05-05,Industrials,0.2982255555555556,0.10543225806451612,0.19279329749103946,False,BA,0.5806451612903226,0.01704444444444444,31,5.0
2021-01-22,Industrials,0.165875,-0.026500000000000006,0.192375,True,BA,0.6666666666666666,-0.41125,3,2.0
2022-07-06,Comm,-0.18056388888888888,0.011462500000000007,0.1920263888888889,True,T,0.5,0.135575,8,3.0
2022-12-21,Consumer,-0.06510560606060607,0.12557608695652175,0.19068169301712784,True,NKE,0.717391304347826,0.17903030303030304,46,5.0
2020-04-22,Tech,0.3060380952380952,0.11662173913043476,0.18941635610766044,False,INTC,0.6086956521739131,0.018357142857142857,23,5.0
2020-07-28,Materials,0.2832375,0.09387777777777778,0.1893597222222222,False,SHW,0.8888888888888888,0.039775,9,2.0
2021-01-11,Healthcare,-0.10957285714285714,0.07948000000000001,0.18905285714285713,True,ABBV,0.4666666666666667,0.1500857142857143,15,5.0
2020-10-23,Comm,0.3454375,0.1584111111111111,0.1870263888888889,False,T,0.8888888888888888,0.104975,9,2.0
2020-12-23,Industrials,0.3579833333333333,0.1714,0.18658333333333332,False,BA,0.6,0.018233333333333334,10,4.0
2023-03-16,Industrials,0.3712,0.1856,0.1856,False,MMM,0.6666666666666666,0.0,6,3.0
2022-12-23,Healthcare,-0.13645833333333332,0.04880000000000002,0.18525833333333333,True,GILD,0.5714285714285714,0.250325,7,3.0
2021-03-01,Industrials,-0.04041875,0.144236,0.18465475,True,BA,0.64,0.21810625,25,5.0
2021-01-13,Industrials,0.29152954545454546,0.10695333333333333,0.1845762121212121,False,BA,0.7333333333333333,0.03131818181818182,15,4.0
2021-11-05,Industrials,0.39923333333333333,0.21635,0.18288333333333334,False,MMM,0.75,0.033466666666666665,4,2.0
2021-07-01,Comm,0.1842375,0.001966666666666666,0.18227083333333333,False,T,0.6666666666666666,-0.14385,9,4.0
2020-02-28,Materials,0.12376944444444445,-0.05811250000000001,0.18188194444444444,True,DD,0.5,-0.17822500000000002,8,3.0
2020-10-20,RealEstate,0.36345,0.181725,0.181725,False,PLD,0.75,0.0,4,2.0
2020-06-05,Energy,0.25553666666666663,0.07387878787878788,0.18165787878787876,False,XOM,0.3333333333333333,0.049800000000000004,33,5.0
2020-03-30,Materials,0.03359833333333334,0.21497000000000002,0.18137166666666668,False,DOW,0.5,0.37012,10,3.0
2020-08-20,Tech,-0.1585777777777778,0.022715789473684214,0.181293567251462,True,INTC,0.9473684210526315,0.04404444444444445,19,2.0
2022-12-07,Financials,-0.0019999999999999935,-0.18265714285714285,0.18065714285714285,False,GS,0.6428571428571429,-0.24581666666666666,28,5.0
2020-02-07,Consumer,0.19973125,0.020990476190476188,0.1787407738095238,False,DIS,0.7619047619047619,-0.023875,21,4.0
2020-05-12,Healthcare,-0.07749873015873014,0.10092608695652175,0.17842481711525188,True,GILD,0.6521739130434783,0.2072466666666667,23,3.0
2023-09-07,Healthcare,-0.18949333333333332,-0.011314285714285706,0.17817904761904763,False,ABT,0.42857142857142855,0.4341333333333333,7,5.0
2020-04-06,Healthcare,0.33347310344827585,0.1559,0.17757310344827584,False,GILD,0.6304347826086957,0.10926551724137933,46,5.0
2023-09-27,Utilities,-0.007531333333333334,0.16936666666666667,0.176898,True,NEE,0.5555555555555556,0.28251,18,5.0
2020-06-26,Consumer,0.1670535294117647,-0.009366666666666662,0.17642019607843137,True,NKE,0.7083333333333334,-0.10938235294117647,24,5.0
2021-01-14,Financials,-0.017289285714285715,0.15883,0.1761192857142857,True,WFC,0.7,0.2762428571428571,20,4.0
2022-10-19,Industrials,0.02971666666666667,-0.14632499999999998,0.17604166666666665,True,GE,0.75,-0.32236666666666663,4,2.0
2020-10-23,Energy,0.25895833333333335,0.08431666666666666,0.1746416666666667,False,XOM,0.6666666666666666,-0.090325,6,3.0
2023-03-29,Materials,0.14385555555555554,0.3173,0.17344444444444448,False,NUE,0.75,0.42136666666666667,8,3.0
2020-09-08,Energy,-0.10190971428571427,0.07067142857142857,0.17258114285714282,True,CVX,0.3333333333333333,0.3413714285714286,21,5.0
2020-03-24,Healthcare,0.27379619047619047,0.10125333333333333,0.17254285714285714,False,GILD,0.4666666666666667,0.03471428571428571,15,5.0
2020-02-21,Tech,-0.2589611428571429,-0.0866125,0.1723486428571429,False,AMD,0.4375,-0.06598571428571429,16,5.0
2020-04-14,Utilities,0.22797999999999996,0.39964285714285713,0.17166285714285717,False,DUK,0.5,0.5176999999999999,14,4.0
2020-04-29,Materials,0.29078,0.11937368421052631,0.17140631578947368,False,SHW,0.5789473684210527,-0.007799999999999999,19,5.0
2023-09-25,Comm,-0.02976000000000002,0.14018666666666668,0.1699466666666667,True,T,0.5333333333333333,0.0828,15,4.0
2022-04-26,Comm,0.35237583333333333,0.18265384615384617,0.16972198717948717,False,T,0.46153846153846156,0.18898333333333336,13,4.0
2021-07-23,Tech,-0.04767791666666667,0.12156538461538463,0.16924330128205128,True,INTC,0.7692307692307693,0.208955,26,4.0
2020-05-22,Tech,-0.17001400000000003,-0.0008392857142857193,0.16917471428571432,False,NVDA,0.7142857142857143,0.02343,28,5.0
2023-10-10,Utilities,0.28176666666666667,0.11264285714285714,0.1691238095238095,False,NEE,0.7142857142857143,-0.01419999999999999,7,3.0
2020-04-13,Healthcare,-0.004051999999999989,0.1648,0.168852,True,GILD,0.6,0.20088666666666669,50,5.0
2022-08-10,Healthcare,0.15320000000000003,-0.014949999999999982,0.16815000000000002,True,MRK,0.6666666666666666,-0.18309999999999998,6,3.0
2022-03-30,Industrials,0.3782277777777778,0.210625,0.16760277777777777,False,BA,0.5625,0.06874444444444444,16,4.0
2020-04-14,Tech,0.570381619047619,0.4029611111111111,0.16742050793650787,False,AMD,0.3888888888888889,0.22877142857142857,18,5.0
2020-04-07,Industrials,0.298147,0.13078529411764706,0.16736170588235294,False,BA,0.29411764705882354,-0.04789,34,5.0
2023-09-07,Energy,0.222679375,0.05539375000000001,0.167285625,False,CVX,0.5,-0.0938625,16,4.0
2020-02-11,Comm,-0.032639117647058805,0.13359583333333333,0.16623495098039215,True,TMUS,0.7083333333333334,0.14602352941176472,24,4.0
2020-01-13,Materials,0.32985,0.164925,0.164925,False,NEM,0.75,0.0,4,2.0
2023-04-25,Tech,0.2505552380952381,0.08565277777777777,0.16490246031746034,False,NVDA,0.5833333333333334,0.02644285714285714,36,5.0
2022-05-31,Industrials,0.372985,0.2083363636363636,0.1646486363636364,False,BA,0.45454545454545453,0.14443999999999999,11,4.0
2020-10-05,Utilities,0.6166375,0.45352,0.16311749999999997,False,NEE,0.8,0.344775,5,2.0
2021-01-11,Industrials,0.19519062499999998,0.032085,0.16310562499999998,False,BA,0.8,-0.019137499999999995,20,4.0
2023-08-14,Utilities,0.4170333333333333,0.25405,0.1629833333333333,False,NEE,0.75,0.09106666666666667,4,2.0
2020-04-01,Financials,0.046317904761904755,-0.11606500000000002,0.16238290476190476,True,WFC,0.35,-0.16735714285714284,20,5.0
2021-05-19,Tech,-0.19401428571428572,-0.03186,0.16215428571428572,False,AMD,0.4666666666666667,-0.006299999999999988,15,3.0
2020-10-01,Industrials,0.3683609375,0.20649047619047617,0.16187046130952382,False,BA,0.7619047619047619,0.14009375,21,4.0
2020-04-22,Utilities,0.016108455882352945,0.177856,0.16174754411764705,False,NEE,0.68,0.2591588235294118,25,4.0
2022-03-22,Comm,-0.19626666666666667,-0.03455555555555554,0.16171111111111114,False,T,0.6666666666666666,0.07730000000000002,9,3.0
