base_method,date,sector,standard_change,confidence_change,z_star,b63,a21,confidence,raw_tilt,confidence_adjusted_tilt,attenuation_ratio,case_type,confidence_minus_standard_sharpe,confidence_minus_standard_return,confidence_minus_standard_turnover
Maximum Sharpe,,ALL,,,,,,,,,,confidence_fails_to_improve_summary,-0.0011569677136705758,-0.0003984639918017674,-0.051431299157407295
Maximum Sharpe,2023-08-01,Consumer,4.656117480379826e-05,2.5018873449570832e-05,-0.05354305004615868,0.9682539682539683,0.8964989656556951,0.8680386810317048,-0.005354305004615869,-0.004647743854048214,0.4626666196676399,high_confidence_similar_overlay,,,
Maximum Sharpe,2021-09-01,RealEstate,0.04427294773303109,0.016062145860738453,1.7154795501096671,0.33650793650793653,0.9367775210118837,0.31523307056272915,0.17154795501096673,0.05407758860686396,0.6372017974137549,large_standard_change_attenuated,,,
Minimum Variance,,ALL,,,,,,,,,,confidence_improves_summary,0.0024215334744066563,0.0002698264944216433,-0.23936346264058983
Minimum Variance,2023-08-01,Consumer,0.0024056908031631075,0.0024324775188032666,-0.05354305004615868,0.9682539682539683,0.8964989656556951,0.8680386810317048,-0.005354305004615869,-0.004647743854048214,-0.011134729203328586,high_confidence_similar_overlay,,,
Minimum Variance,2021-11-01,RealEstate,0.0225259863957884,0.008195888986761268,1.6698034594556421,0.37777777777777777,0.9011077108919381,0.3404184685591766,0.1669803459455642,0.05684319364627049,0.6361584863474115,large_standard_change_attenuated,,,
