year,sector,mean_sector_sentiment,sentiment_volatility,average_active_ticker_share,headline_volume,average_headline_concentration_hhi,missing_sector_days,observed_sector_days
2020,Comm,0.09384033866096606,0.1168070143910043,0.7296442687747036,3147,0.4110589788749134,0,253
2020,Consumer,0.1005590924181068,0.08796850132182431,0.933596837944664,7469,0.32851373704038195,0,253
2020,Energy,0.09316666615200635,0.13300838945930077,0.8102766798418972,4541,0.353683438318605,1,252
2020,Financials,0.10146793271600421,0.1326895886703162,0.8648221343873518,4141,0.30849166998406125,0,253
2020,Healthcare,0.12352533709933834,0.1312552209724444,0.8118577075098814,4733,0.38601700865140154,0,253
2020,Industrials,0.09982538191989228,0.11399211015031653,0.8166007905138339,4267,0.3846208194084328,0,253
2020,Materials,0.10688454606403933,0.15474985600257646,0.5090909090909091,1613,0.5085278579299167,26,227
2020,RealEstate,0.10407177857962027,0.17520555134098717,0.4624505928853755,1101,0.5582435944480667,24,229
2020,Tech,0.11936583521654963,0.13944892418415367,0.7810276679841897,4110,0.36523038759268167,0,253
2020,Utilities,0.1920144988968904,0.1830635856248856,0.5652173913043478,1833,0.485426062548946,12,241
2021,Comm,0.11319024137460593,0.12701934444229107,0.7436507936507937,2662,0.4033764018825503,1,251
2021,Consumer,0.11441433308337622,0.08904365568290781,0.9134920634920636,5059,0.31047313080408734,0,252
2021,Energy,0.0911828310028256,0.13356553855143535,0.7555555555555555,3033,0.3726339318149417,1,251
2021,Financials,0.10858218440094589,0.10724081809340374,0.8388888888888889,3954,0.32163964529591565,0,252
2021,Healthcare,0.12293493244295958,0.1304293614215708,0.7634920634920636,2538,0.3701016070325378,1,251
2021,Industrials,0.10104256103332797,0.12185817327249235,0.6777777777777778,2441,0.41509572160853647,0,252
2021,Materials,0.08909120474543572,0.153198555560865,0.42857142857142855,866,0.580594716920265,22,230
2021,RealEstate,0.13877400525525527,0.18295189512301813,0.3968253968253968,732,0.6041938239259669,30,222
2021,Tech,0.12303063153740851,0.11609217431276066,0.7626984126984128,3666,0.36615163627365843,0,252
2021,Utilities,0.18521710428639848,0.1930667179805882,0.41825396825396827,812,0.5897637277880131,20,232
2022,Comm,0.09150238187287987,0.12631683786690395,0.7832669322709163,2864,0.37799103529599387,0,251
2022,Consumer,0.09534962722877839,0.07555239818435891,0.9665338645418327,6459,0.2920504681673812,0,251
2022,Energy,0.15002542761744722,0.09345470795988801,0.9195219123505977,5885,0.2957527766867537,0,251
2022,Financials,0.09819536770470937,0.10296925897862133,0.8868525896414342,4407,0.3023160960959343,0,251
2022,Healthcare,0.09308417766593917,0.11632791929365059,0.8844621513944223,3529,0.30225973360174746,0,251
2022,Industrials,0.11728336013983198,0.10907779097284125,0.7705179282868526,3001,0.36801725704058974,0,251
2022,Materials,0.09359672124450873,0.14152414771080324,0.5426294820717132,1241,0.4889065989680196,7,244
2022,RealEstate,0.15364506427928795,0.15135197030874478,0.6717131474103586,1599,0.390702535811957,4,247
2022,Tech,0.11103156613541068,0.0853157837863781,0.9569721115537848,6981,0.28587103530578467,0,251
2022,Utilities,0.19620562469598055,0.13470188112476408,0.6772908366533864,1661,0.40474461002553447,3,248
2023,Comm,0.10470541939781958,0.10502838740939746,0.7704,3110,0.35766574104468557,8,242
2023,Consumer,0.09365411979942737,0.06662309266410611,0.9432,6890,0.2788965414820605,8,242
2023,Energy,0.11083881587477426,0.0888913415434571,0.892,5906,0.30768322992916514,8,242
2023,Financials,0.08289577722265638,0.08421637439141616,0.9096000000000001,5767,0.2846959051264872,8,242
2023,Healthcare,0.100196834062951,0.0919498591466187,0.884,3897,0.28891563285212224,8,242
2023,Industrials,0.11043720729021063,0.09036998151734928,0.7424,3447,0.3471139759838894,8,242
2023,Materials,0.096547168425136,0.11285814731251693,0.6456000000000001,1673,0.41800390925794045,11,239
2023,RealEstate,0.1345240911803417,0.1119349107657799,0.6944,1907,0.38542911664864604,8,242
2023,Tech,0.12393636198686665,0.07083744410486399,0.9592,11875,0.3508636584848535,0,250
2023,Utilities,0.16335138231483823,0.1183703579820113,0.712,2013,0.3841625474748652,9,241
