fund_family,method,method_type,periods_per_year,risk_free_rate_annual,transaction_cost_rate,observation_count,sample_start,sample_end,gross_total_return,gross_annualised_return,gross_annualised_volatility,gross_sharpe_ratio,gross_max_drawdown,net_total_return,net_annualised_return,net_annualised_volatility,net_sharpe_ratio,net_max_drawdown,total_transaction_cost,total_turnover,first_live_date
Combined,Equal Weight,benchmark,252,0.0,0.001,753,2021-01-04,2023-12-29,0.5175255920297193,0.14979185312494048,0.21251687241172795,0.7048468736860353,-0.28746987990265405,0.5160021390557246,0.14940543016913388,0.2125248097592382,0.7030023004767771,-0.2874698799026554,0.001,1.0,2021-01-04
Combined,Maximum Sharpe,optimisation,252,0.0,0.001,753,2021-01-04,2023-12-29,0.9555291422265528,0.2516269409016565,0.24651878854827253,1.0207211482072642,-0.2630832464081999,0.9082259950278844,0.24141203564048364,0.2463809715106882,0.9798323066926091,-0.26601591197775687,0.024607529500347267,24.607529500347262,2021-01-04
Combined,Minimum Variance,optimisation,252,0.0,0.001,753,2021-01-04,2023-12-29,0.1775354096995203,0.05621479557466125,0.12789839496317945,0.4395269822646709,-0.15609982115800858,0.16395905065609018,0.05212369266949035,0.1278275978697328,0.4077655650120941,-0.15746473653124848,0.011625525379484941,11.625525379484941,2021-01-04
Crypto-only,Equal Weight,benchmark,365,0.0,0.001,1095,2021-01-01,2023-12-31,1.4162442566426043,0.34187978854018186,0.8042210448398298,0.42510674239850477,-0.815973061425794,1.413855079690102,0.3414373600995406,0.804217258111815,0.42455860857946,-0.8159730614257941,0.001,1.0,2021-01-01
Crypto-only,Maximum Sharpe,optimisation,365,0.0,0.001,1095,2021-01-01,2023-12-31,-0.5998484298007885,-0.2631006471263112,0.7929272999288264,-0.3318092934244126,-0.8915358626501266,-0.6097603536444676,-0.2692360244590991,0.7928285503008953,-0.33958921428462474,-0.8925205620578466,0.02530056144916237,25.30056144916237,2021-01-01
Crypto-only,Minimum Variance,optimisation,365,0.0,0.001,1095,2021-01-01,2023-12-31,1.1415252905978126,0.2889648347941345,0.635029780231159,0.45504139142726124,-0.7563175525657172,1.1312125377303475,0.28689245352823445,0.6350225168367978,0.45178311937238985,-0.7565405734658958,0.004843616848794084,4.843616848794084,2021-01-01
Equity-only,Equal Weight,benchmark,252,0.0,0.001,753,2021-01-04,2023-12-29,0.4272603332576044,0.12643529221978822,0.16166197477746672,0.7820966704992363,-0.20321862626913656,0.4258132462929425,0.1260529521719993,0.16169249461808524,0.7795844356890782,-0.20321862626913545,0.001,1.0,2021-01-04
Equity-only,Maximum Sharpe,optimisation,252,0.0,0.001,753,2021-01-04,2023-12-29,0.30959564255654004,0.09446354689664571,0.18227992528177883,0.5182334080432528,-0.26118172719205335,0.27750122491682316,0.08541301587501171,0.18211525687864,0.4690052735775465,-0.2641262522687938,0.024908840121459143,24.908840121459143,2021-01-04
Equity-only,Minimum Variance,optimisation,252,0.0,0.001,753,2021-01-04,2023-12-29,0.17538480871264484,0.0555688324453818,0.12759488754146167,0.43550986654794327,-0.1542295104147332,0.16195750369330808,0.05151786506736822,0.12752231358613902,0.4039909849390305,-0.15560369801203833,0.0115191438254282,11.519143825428202,2021-01-04
